Longitude,Latitude,Housing_median_age,Rooms,Bedrooms,Population,Housholds,Median_income,House_value,Close_to_Ocean (Chose this as output!)
0.3347222222,0.472,0.4230769231,0.08257884028,0.1332816137,0.1171178746,0.1448536666,0.08894740351,0.1215997568,0
0.3348333333,0.472,0.2884615385,0.05712105799,0.07075252133,0.03335014853,0.06626109832,0.1352843144,0.1407997184,0
0.3630555556,0.079,0.4038461538,0.001119023398,0.005120248254,0.001793621434,0.004439329168,0.05713619092,0.0499999,0
0.3327777778,0.733,0.1730769231,0.06963377416,0.07913110939,0.03343422454,0.06774087471,0.2930337977,0.2495995008,0
0.3526666667,0.181,0.2307692308,0.31525941,0.395965865,0.07140855333,0.2079907925,0.2292780481,0.3243993512,0
0.3217777778,0.563,0.6730769231,0.01314852492,0.01675717611,0.01095790595,0.01759289707,0.2711952536,0.3137993724,1
0.3203888889,0.557,0.5192307692,0.07845879959,0.1359193173,0.04072081161,0.1473199605,0.2288714086,0.57999884,1
0.3282222222,0.756,0.9230769231,0.03245167854,0.0453064391,0.0100330699,0.02384084183,0.1249916672,0.1331997336,0
0.3211666667,0.578,1,0.02721261445,0.02994569434,0.01555406087,0.03123972378,0.2483967735,0.3337993324,1
0.3451111111,0.163,0.4038461538,0.2432604273,0.355159038,0.08861610896,0.3010522854,0.3134724352,0.6907986184,0
0.322,0.563,0.6346153846,0.02421159715,0.02668735454,0.01034134858,0.02614271621,0.2155256316,0.4533990932,1
0.3452222222,0.213,0.6346153846,0.06060528993,0.06640806827,0.03556414999,0.0692206511,0.3090460636,0.490999018,0
0.3242222222,0.467,0.5384615385,0.006510681587,0.01024049651,0.005997421669,0.009865175929,0.2012999133,0.27499945,0
0.3418888889,0.225,0.6153846154,0.05638351984,0.06547711404,0.02981895634,0.07020716869,0.2465768949,0.4171991656,0
0.3265555556,0.668,0.1923076923,0.1592573754,0.1982932506,0.0827868393,0.192206511,0.230024665,0.277999444,0
0.3227222222,0.531,0.5384615385,0.07894201424,0.1258339798,0.04170169834,0.1239723775,0.2428438104,0.6651986696,0
