Longitude,Latitude,Housing_median_age,Rooms,Bedrooms,Population,Housholds,Median_income,House_value,Close_to_Ocean (Chose this as output!)
0.3440555556,0.186,0.5384615385,0.04549847406,0.05461598138,0.03775012611,0.05425846761,0.2283181121,0.3793992412,0
0.3472777778,0.193,0.5,0.07553407935,0.0893716059,0.06042262205,0.09174613614,0.2634624358,0.2491995016,0
0.346,0.209,0.6346153846,0.1266276704,0.1449185415,0.07216523737,0.1437027294,0.2530364642,0.30499939,0
0.3288333333,0.673,0.7307692308,0.05099186165,0.05973622964,0.02471834538,0.05804011838,0.1673488434,0.240999518,0
0.3495,0.069,0.6538461538,0.03736012208,0.04142746315,0.02889412028,0.04390003288,0.2305379641,0.2253995492,1
0.3223888889,0.529,0.5576923077,0.06920142421,0.1058184639,0.04489658651,0.1062150608,0.2224518365,0.5305989388,0
0.3226666667,0.462,1,0.0254577823,0.02963537626,0.01191076733,0.03025320618,0.2507432838,0.4833990332,1
0.3296666667,0.329,0.75,0.05501017294,0.1011636928,0.03231321114,0.09848733969,0.1389240717,0.4665990668,1
0.3222222222,0.535,0.3846153846,0.1094608342,0.1320403413,0.05770416456,0.137290365,0.3444703686,0.665998668,0
0.341,0.217,0.6153846154,0.03791963377,0.05508145849,0.02118715319,0.04866820125,0.2026798213,0.5255989488,0
0.344,0.178,0.4807692308,0.1353255341,0.1500387898,0.05518188442,0.1484708977,0.3339910673,0.6801986396,0
0.3281111111,0.56,0.5769230769,0.08283316378,0.08906128782,0.05055770416,0.0966787241,0.2355242984,0.2057995884,0
0.3418888889,0.2,0.8461538462,0.0239318413,0.03568657874,0.01381649011,0.03387043736,0.2430371309,0.6515986968,0
0.3502777778,0.179,0.1538461538,0.2796795524,0.3421256788,0.1418081946,0.3204537981,0.1465168989,0.1905996188,0
0.3198333333,0.566,0.5576923077,0.09005595117,0.1219550039,0.06330923155,0.1266030911,0.2869075395,0.5567988864,1
0.3502777778,0.174,0.3461538462,0.0507629705,0.0628394104,0.03559217533,0.06576783953,0.1805412972,0.1823996352,0
0.3166666667,0.633,0.1538461538,0.08196846389,0.09883630721,0.02384956,0.06872739231,0.376274915,0.7295985408,1
0.3433888889,0.21,0.8076923077,0.04010681587,0.05880527541,0.03690936607,0.06215060835,0.214125725,0.3077993844,0
0.343,0.195,0.8461538462,0.03847914547,0.05725368503,0.03049156437,0.05656034199,0.08645423638,0.1887996224,0
0.3443333333,0.19,0.6538461538,0.06810783316,0.07928626843,0.04315901575,0.08171654061,0.2996733551,0.4057991884,0
0.3486666667,0.123,0.25,0.09552390641,0.1005430566,0.04952076677,0.1009536337,0.2718218785,0.391999216,0
